Name,Model,Trim,Student,Military,First_Responder,Bonus,Loyalty,Conquest,Mobility
Alfa,2021 Alfa Romeo Stelvio,Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,$500 First Responder for Retail or Lease - Expires 01/03/2022,"$1,000 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021","$1,000 Loyalty for Retail or Lease - Expires 03/31/2021,$1,000 Loyalty for Retail or Lease - Expires 03/31/2021","$1,000 Conquest for Retail or Lease - Expires 03/31/2021",
Audi,2020 Audi SQ7,Premium Plus 4dr SUV AWD w/TFSI (4.0L 8cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi S8,4dr Sedan AWD (4.0L 8cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi S5,Premium Plus 4dr Hatchback AWD (3.0L 6cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi A5,Premium Plus 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi A4 allroad,Premium Plus 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi S6,Prestige 4dr Sedan AWD (2.9L 6cyl Twincharger gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi SQ8,Premium Plus 4dr SUV AWD w/TFSI (4.0L 8cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi TT,2dr Convertible AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),,,,,,,
Audi,2020 Audi TT RS,2dr Coupe AWD (2.5L 5cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi S4,Premium 4dr Sedan AWD (3.0L 6cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi RS 3,4dr Sedan AWD (2.5L 5cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi S7,Prestige 4dr Sedan AWD (2.9L 6cyl Twincharger gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi Q8,Premium Plus 4dr SUV AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi SQ5,Premium Plus 4dr SUV AWD w/TFSI (3.0L 6cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi A6,Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric hybrid 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi A4,Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi A8,L 4dr Sedan AWD w/60 TFSI (4.0L 8cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi Q5,Premium Plus 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi A7,Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric hybrid 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi TTS,2dr Coupe AWD (2.0L 4cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi S3,Premium Plus 4dr Sedan AWD (2.0L 4cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi A3,Sport Premium 4dr Sedan (2.0L 4cyl Turbo 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi Q3,S line Premium Plus 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi e-tron Sportback,Premium Plus 4dr SUV AWD w/55 (electric DD),,,,,,,
Audi,2020 Audi A6 allroad,Premium Plus 4dr Wagon AWD w/3.0 TFSI (3.0L 6cyl Turbo gas/electric hybrid 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi R8,performance 2dr Coupe AWD w/V10 (5.2L 10cyl 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2020 Audi Q7,Premium Plus 4dr SUV AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi A8,L 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi RS 5,2dr Coupe AWD (2.9L 6cyl Turbo 8A),,,,,,,
Audi,2021 Audi e-tron Sportback,Prestige 4dr SUV AWD (electric DD),,,,,,,
Audi,2021 Audi S4,Premium Plus 4dr Sedan AWD (3.0L 6cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi A6,Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric hybrid 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi A7,Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric hybrid 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi S5,Prestige 2dr Convertible AWD (3.0L 6cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi A5,Prestige S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric hybrid 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi e-tron,Premium 4dr SUV AWD (electric DD),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi A4,Premium Plus 4dr Sedan AWD w/40 TFSI (2.0L 4cyl Turbo gas/electric hybrid 7AM),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi Q3,S line Premium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi SQ8,Prestige 4dr SUV AWD w/TFSI (4.0L 8cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi SQ5,Premium 4dr SUV AWD w/TFSI (3.0L 6cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi Q7,Premium Plus 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi SQ7,Premium Plus 4dr SUV AWD w/TFSI (4.0L 8cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Audi,2021 Audi RS 7,4dr Sedan AWD (4.0L 8cyl Turbo 8A),,,,,,,
Audi,2021 Audi RS 6,4dr Wagon AWD (4.0L 8cyl Turbo 8A),,,,,,,
Audi,2021 Audi Q8,Premium 4dr SUV AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric hybrid 8A),,,,,,,"$1,500 Mobility for Retail or Lease - Expires 01/03/2022"
Chevrolet,2020 Chevrolet Express,LS 3500 3dr Ext Van (4.3L 6cyl 8A),,,,,,,
Chevrolet,2020 Chevrolet Camaro,1LT 2dr Coupe (2.0L 4cyl Turbo 6M),,,,,,,
Chevrolet,2020 Chevrolet Bolt EV,LT 4dr Hatchback (electric DD),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2020 Chevrolet Impala,LT 4dr Sedan (3.6L 6cyl 6A),,,,,,,
Chevrolet,2020 Chevrolet Suburban,LT 4dr SUV 4WD (5.3L 8cyl 6A),,,,,,,
Chevrolet,2020 Chevrolet Corvette,Stingray 2dr Coupe w/3LT (6.2L 8cyl 8AM),,,,,,,
Chevrolet,2020 Chevrolet Blazer,2LT 4dr SUV (2.0L 4cyl Turbo 9A),,,,,,,
Chevrolet,2020 Chevrolet Tahoe,LT 4dr SUV 4WD (5.3L 8cyl 6A),,,,,,,
Chevrolet,2020 Chevrolet Trax,LS 4dr SUV (1.4L 4cyl Turbo 6A),,,,,"$1,000 Lease Loyalty & Lease Conquest - Expires 03/31/2021,$750 Loyalty for Lease - Expires 03/31/2021",,
Chevrolet,2020 Chevrolet Sonic,LT 4dr Sedan (1.4L 4cyl Turbo 6A),,,,,,,
Chevrolet,2020 Chevrolet Colorado,Work Truck 4dr Crew Cab 4WD 5.1 ft. SB (3.6L 6cyl 8A),,,,,,,
Chevrolet,2020 Chevrolet Traverse,LT Cloth 4dr SUV (3.6L 6cyl 9A),,,,,,,
Chevrolet,2020 Chevrolet Equinox,LT 4dr SUV (1.5L 4cyl Turbo 6A),,,,,,,
Chevrolet,2020 Chevrolet Spark,LS 4dr Hatchback (1.4L 4cyl CVT),,,,,,,
Chevrolet,2020 Chevrolet Silverado 1500,LT Trail Boss 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 10A),,,,,,,
Chevrolet,2020 Chevrolet Silverado 3500HD,LTZ 4dr Crew Cab 4WD SB (6.6L 8cyl 6A),,,,,,,
Chevrolet,2020 Chevrolet Malibu,LS 4dr Sedan (1.5L 4cyl Turbo CVT),,,,,,,
Chevrolet,2020 Chevrolet Silverado 2500HD,LTZ 4dr Crew Cab 4WD SB (6.6L 8cyl 6A),,,,,,,
Chevrolet,2021 Chevrolet Express Cargo,2500 3dr Ext Van (4.3L 6cyl 8A),,,,,,,
Chevrolet,2021 Chevrolet Silverado 3500HD,LT 4dr Crew Cab 4WD LB DRW (6.6L 8cyl 6A),,,,,,,
Chevrolet,2021 Chevrolet Silverado 2500HD,LTZ 4dr Crew Cab 4WD SB (6.6L 8cyl 6A),,,,,,,
Chevrolet,2021 Chevrolet Silverado 1500,LT Trail Boss 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 10A),,,,,"$500 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Corvette,Stingray 2dr Convertible w/3LT (6.2L 8cyl 8AM),,,,,,,
Chevrolet,2021 Chevrolet Bolt EV,LT 4dr Hatchback (electric DD),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Blazer,RS 4dr SUV AWD (3.6L 6cyl 9A),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Malibu,RS 4dr Sedan (1.5L 4cyl Turbo CVT),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Traverse,LT Cloth 4dr SUV AWD (3.6L 6cyl 9A),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Camaro,1LT 2dr Coupe (2.0L 4cyl Turbo 6M),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Spark,LS 4dr Hatchback (1.4L 4cyl CVT),,,,,,,
Chevrolet,2021 Chevrolet Trax,LS 4dr SUV (1.4L 4cyl Turbo 6A),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,000 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Equinox,LT 4dr SUV AWD (1.5L 4cyl Turbo 6A),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$1,000 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Suburban,Z71 4dr SUV 4WD (5.3L 8cyl 10A),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Tahoe,Z71 4dr SUV 4WD (5.3L 8cyl 10A),,,,,"$750 Loyalty for Lease - Expires 03/31/2021,$500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Colorado,Z71 4dr Crew Cab 4WD 5.1 ft. SB (3.6L 6cyl 8A),,,,,"$500 Loyalty for Lease - Expires 03/31/2021,$1,500 Lease Loyalty & Lease Conquest - Expires 03/31/2021",,
Chevrolet,2021 Chevrolet Trailblazer,L 4dr SUV (1.2L 3cyl Turbo CVT),,,,,,,
Buick,2020 Buick Encore GX,Select 4dr SUV (1.2L 3cyl Turbo CVT),,, First Responder Discount for Retail or Lease - Expires 01/03/2022,,,,
Buick,2020 Buick Regal Sportback,Essence 4dr Hatchback (2.0L 4cyl Turbo 9A),,,,,,,
Buick,2020 Buick Regal TourX,Preferred 4dr Wagon AWD (2.0L 4cyl Turbo 8A),,,,,,,
Buick,2020 Buick Encore,Preferred 4dr SUV (1.4L 4cyl Turbo 6A),,,,,,,
Buick,2020 Buick Enclave,Essence 4dr SUV (3.6L 6cyl 9A),,,,,,,
Buick,2020 Buick Envision,Essence 4dr SUV (2.5L 4cyl 6A),,, First Responder Discount for Retail or Lease - Expires 01/03/2022,,,,
Buick,2021 Buick Encore GX,Select 4dr SUV (1.2L 3cyl Turbo CVT),,, First Responder Discount for Retail or Lease - Expires 01/03/2022,,"$1,500 Loyalty for Lease - Expires 03/31/2021,$2,500 Loyalty for Lease - Expires 03/31/2021",,
Buick,2021 Buick Enclave,Essence 4dr SUV AWD (3.6L 6cyl 9A),,, First Responder Discount for Retail or Lease - Expires 01/03/2022,,"$3,500 Loyalty for Lease - Expires 03/31/2021,$2,500 Loyalty for Lease - Expires 03/31/2021",,
Buick,2021 Buick Envision,Avenir 4dr SUV AWD (2.0L 4cyl Turbo 9A),,, First Responder Discount for Retail or Lease - Expires 01/03/2022,,"$500 Loyalty for Lease - Expires 03/31/2021,$1,000 Loyalty for Lease - Expires 03/31/2021",,
Buick,2021 Buick Encore,Preferred 4dr SUV (1.4L 4cyl Turbo 6A),,, First Responder Discount for Retail or Lease - Expires 01/03/2022,,"$1,000 Loyalty for Lease - Expires 03/31/2021,$1,750 Loyalty for Lease - Expires 03/31/2021",,
Chrysler,2020 Chrysler Voyager,L 4dr Minivan (3.6L 6cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,"$1,000 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021",,,
Chrysler,2021 Chrysler Voyager,L 4dr Minivan (3.6L 6cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,,,
Chrysler,2021 Chrysler Pacifica,Touring 4dr Minivan (3.6L 6cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,"$1,250 Loyalty for Retail or Lease - Expires 03/31/2021",,
Chrysler,2020 Chrysler Pacifica,Touring L Plus 4dr Minivan (3.6L 6cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,"$1,750 Loyalty for Retail or Lease - Expires 03/31/2021",,
Chrysler,2021 Chrysler 300,Touring 4dr Sedan (3.6L 6cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Dodge,2020 Dodge Journey,SE Value 4dr SUV (2.4L 4cyl 4A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Dodge,2020 Dodge Challenger,SXT 2dr Coupe (3.6L 6cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,"$1,000 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021",$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Dodge,2020 Dodge Durango,R/T 4dr SUV AWD (5.7L 8cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,,,
Dodge,2020 Dodge Charger,Scat Pack 4dr Sedan (6.4L 8cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Dodge,2021 Dodge Challenger,R/T Scat Pack 2dr Coupe (6.4L 8cyl 6M),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Dodge,2021 Dodge Durango,GT Plus 4dr SUV AWD (3.6L 6cyl 8A),,,,,,,
GMC,2020 GMC Savana Cargo,2500 3dr Van (4.3L 6cyl 8A),,,,,,,
GMC,2020 GMC Savana,LS 2500 3dr Van (4.3L 6cyl 8A),,,,,,,
GMC,2020 GMC Sierra 3500HD,Denali 4dr Crew Cab 4WD SB (6.6L 8cyl 6A),,,,,,,
Dodge,2021 Dodge Charger,SXT 4dr Sedan (3.6L 6cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,"$1,500 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021",$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
GMC,2020 GMC Yukon,Denali 4dr SUV 4WD (6.2L 8cyl 10A),,,,,,,
GMC,2020 GMC Yukon XL,Denali 4dr SUV 4WD (6.2L 8cyl 10A),,,,,,,
GMC,2020 GMC Canyon,Denali 4dr Crew Cab 4WD SB (3.6L 6cyl 8A),,,,,,,
GMC,2020 GMC Sierra 1500,SLT 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 10A),,,,,,,
GMC,2020 GMC Terrain,SLE 4dr SUV (1.5L 4cyl Turbo 9A),,,,,,,
GMC,2020 GMC Acadia,SLE 4dr SUV (2.5L 4cyl 9A),,,,,,,
GMC,2020 GMC Sierra 2500HD,Denali 4dr Crew Cab 4WD SB (6.6L 8cyl 6A),,,,,,,
GMC,2021 GMC Sierra 3500HD,4dr Crew Cab 4WD LB (6.6L 8cyl 6A),,,,,,,
GMC,2021 GMC Savana Cargo,3500 3dr Van (4.3L 6cyl 8A),,,,,,,
GMC,2021 GMC Sierra 1500,SLT 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 10A),,,,,"$1,750 Loyalty for Lease - Expires 03/31/2021,$1,500 Loyalty for Lease - Expires 03/31/2021",,
GMC,2021 GMC Sierra 2500HD,AT4 4dr Crew Cab 4WD LB (6.6L 8cyl 6A),,,,,$250 Loyalty for Lease - Expires 03/31/2021,,
GMC,2021 GMC Yukon XL,Denali 4dr SUV 4WD (6.2L 8cyl 10A),,,,,,,
GMC,2021 GMC Terrain,SLT 4dr SUV AWD (1.5L 4cyl Turbo 9A),,,,,"$1,500 Loyalty for Lease - Expires 03/31/2021,$1,000 Loyalty for Lease - Expires 03/31/2021",,
GMC,2021 GMC Canyon,Denali 4dr Crew Cab 4WD 5.1 ft. SB (3.6L 6cyl 8A),,,,,"$1,500 Loyalty for Lease - Expires 03/31/2021,$1,750 Loyalty for Lease - Expires 03/31/2021",,
GMC,2021 GMC Acadia,Denali 4dr SUV AWD (3.6L 6cyl 9A),,,,,"$1,500 Loyalty for Lease - Expires 03/31/2021,$2,000 Loyalty for Lease - Expires 03/31/2021",,
GMC,2021 GMC Yukon,Denali 4dr SUV 4WD (6.2L 8cyl 10A),,,,,,,
Hyundai,2020 Hyundai Sonata Hybrid,Limited 4dr Sedan (2.0L 4cyl gas/electric hybrid 6A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai NEXO,Limited 4dr SUV (electric (fuel cell) DD),,,,,,,
Hyundai,2020 Hyundai Ioniq Electric,SE 4dr Hatchback (electric DD),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Elantra GT,4dr Hatchback (2.0L 4cyl 6A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Kona Electric,SEL 4dr SUV (electric DD),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Ioniq Plug-In Hybrid,SE 4dr Hatchback (1.6L 4cyl gas/electric hybrid 6AM),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Tucson,Value 4dr SUV (2.0L 4cyl 6A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Accent,SE 4dr Sedan (1.6L 4cyl CVT),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Veloster,N 3dr Hatchback (2.0L 4cyl Turbo 6M),$400 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,$500 First Responder for Retail or Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Kona,SEL 4dr SUV (2.0L 4cyl 6A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Ioniq Hybrid,Blue 4dr Hatchback (1.6L 4cyl gas/electric hybrid 6AM),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Santa Fe,SEL 4dr SUV (2.4L 4cyl 8A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Elantra,SEL 4dr Sedan (2.0L 4cyl CVT),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Sonata,SEL 4dr Sedan (2.5L 4cyl 8A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Venue,SEL 4dr Hatchback (1.6L 4cyl CVT),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2020 Hyundai Palisade,Limited 4dr SUV AWD (3.8L 6cyl 8A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Elantra,SE 4dr Sedan (2.0L 4cyl CVT),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Sonata Hybrid,Limited 4dr Sedan (2.0L 4cyl gas/electric hybrid 6A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Kona,SEL 4dr SUV (2.0L 4cyl 6A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Accent,SE 4dr Sedan (1.6L 4cyl CVT),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Tucson,SE 4dr SUV (2.0L 4cyl 6A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Venue,SEL 4dr Hatchback (1.6L 4cyl CVT),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Veloster,Turbo 3dr Hatchback (1.6L 4cyl Turbo 7AM),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Sonata,Limited 4dr Sedan (1.6L 4cyl Turbo 8A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Kona Electric,SEL 4dr SUV (electric DD),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Santa Fe,SE 4dr SUV (2.5L 4cyl 8A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Hyundai,2021 Hyundai Palisade,Limited 4dr SUV AWD (3.8L 6cyl 8A),$400 Student/College Grad for Lease - Expires 03/31/2021,$500 Military for Lease - Expires 03/31/2021,$500 First Responder for Lease - Expires 03/31/2021,,,,
Honda,2020 Honda Ridgeline,RTL-E 4dr Crew Cab AWD SB (3.5L 6cyl 9A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Honda,2020 Honda HR-V,EX 4dr SUV AWD (1.8L 4cyl CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
